name,trait,condition,checkpoint,target,median_rank,best_rank
Peter,patient,direct,distance_10_filler_end,'patient' (leading-space),32022.0,18029
Peter,patient,direct,distance_1_filler_end,'patient' (bare),159695.0,81172
Peter,patient,direct,distance_1_filler_end,'patient' (leading-space),79599.5,42661
Peter,patient,direct,distance_2_filler_end,'patient' (bare),105927.5,39556
Peter,patient,direct,distance_2_filler_end,'patient' (leading-space),34470.0,7260
Peter,patient,direct,distance_3_filler_end,'patient' (bare),149117.5,94602
Peter,patient,direct,distance_3_filler_end,'patient' (leading-space),49555.0,20560
Peter,patient,direct,distance_4_filler_end,'patient' (bare),90892.5,48815
Peter,patient,direct,distance_4_filler_end,'patient' (leading-space),23753.0,7133
Peter,patient,direct,distance_5_filler_end,'patient' (bare),78234.0,37840
Peter,patient,direct,distance_5_filler_end,'patient' (leading-space),16358.0,7355
Peter,patient,direct,distance_6_filler_end,'patient' (bare),45449.0,16882
Peter,patient,direct,distance_6_filler_end,'patient' (leading-space),9238.0,1346
Peter,patient,direct,distance_7_filler_end,'patient' (bare),116250.5,40188
Peter,patient,direct,distance_7_filler_end,'patient' (leading-space),26948.5,6987
Peter,patient,direct,distance_8_filler_end,'patient' (bare),146449.5,62717
Peter,patient,direct,distance_8_filler_end,'patient' (leading-space),46541.5,28611
Peter,patient,direct,distance_9_filler_end,'patient' (bare),117874.5,59431
Peter,patient,direct,distance_9_filler_end,'patient' (leading-space),20759.0,9707
Peter,patient,direct,reintro_entity_mention,'patient' (bare),171639.5,112478
Peter,patient,direct,reintro_entity_mention,'patient' (leading-space),34990.5,17245
Peter,patient,direct,reintro_sentence_end,'patient' (bare),52859.0,15107
Peter,patient,direct,reintro_sentence_end,'patient' (leading-space),24519.5,9188
Peter,patient,inferred,distance_0_trigger_end,'patient' (bare),73697.0,43234
Peter,patient,inferred,distance_0_trigger_end,'patient' (leading-space),21658.0,12599
Peter,patient,inferred,distance_10_filler_end,'patient' (bare),97631.0,35456
Peter,patient,inferred,distance_10_filler_end,'patient' (leading-space),32446.0,20036
Peter,patient,inferred,distance_1_filler_end,'patient' (bare),141583.0,61114
Peter,patient,inferred,distance_1_filler_end,'patient' (leading-space),72318.0,34840
Peter,patient,inferred,distance_2_filler_end,'patient' (bare),97201.5,31935
Peter,patient,inferred,distance_2_filler_end,'patient' (leading-space),29554.0,4984
Peter,patient,inferred,distance_3_filler_end,'patient' (bare),131756.0,69233
Peter,patient,inferred,distance_3_filler_end,'patient' (leading-space),44441.5,18688
Peter,patient,inferred,distance_4_filler_end,'patient' (bare),97443.5,52343
Peter,patient,inferred,distance_4_filler_end,'patient' (leading-space),24971.0,9074
Peter,patient,inferred,distance_5_filler_end,'patient' (bare),73259.5,35360
Peter,patient,inferred,distance_5_filler_end,'patient' (leading-space),18210.0,6856
Peter,patient,inferred,distance_6_filler_end,'patient' (bare),48728.5,17143
Peter,patient,inferred,distance_6_filler_end,'patient' (leading-space),13751.5,1258
Peter,patient,inferred,distance_7_filler_end,'patient' (bare),115609.0,40498
Peter,patient,inferred,distance_7_filler_end,'patient' (leading-space),28637.5,7818
Peter,patient,inferred,distance_8_filler_end,'patient' (bare),146520.5,61907
Peter,patient,inferred,distance_8_filler_end,'patient' (leading-space),46614.0,29499
Peter,patient,inferred,distance_9_filler_end,'patient' (bare),116095.5,57307
Peter,patient,inferred,distance_9_filler_end,'patient' (leading-space),21412.0,9099
Peter,patient,inferred,reintro_entity_mention,'patient' (bare),191976.5,142327
Peter,patient,inferred,reintro_entity_mention,'patient' (leading-space),42770.5,19722
Peter,patient,inferred,reintro_sentence_end,'patient' (bare),66161.0,17950
Peter,patient,inferred,reintro_sentence_end,'patient' (leading-space),34943.0,10049
Simon,curious,control,distance_0_trigger_end,'curious' (leading-space),3867.5,404
Simon,curious,control,distance_10_filler_end,'curious' (leading-space),11501.0,2908
Simon,curious,control,distance_1_filler_end,'curious' (leading-space),24934.0,14286
Simon,curious,control,distance_2_filler_end,'curious' (leading-space),3195.0,429
Simon,curious,control,distance_3_filler_end,'curious' (leading-space),3399.5,1126
Simon,curious,control,distance_4_filler_end,'curious' (leading-space),4948.5,2067
Simon,curious,control,distance_5_filler_end,'curious' (leading-space),8722.5,3982
Simon,curious,control,distance_6_filler_end,'curious' (leading-space),10723.5,3435
Simon,curious,control,distance_7_filler_end,'curious' (leading-space),6273.0,2340
Simon,curious,control,distance_8_filler_end,'curious' (leading-space),5471.0,2338
Simon,curious,control,distance_9_filler_end,'curious' (leading-space),2990.5,1053
Simon,curious,control,reintro_entity_mention,'curious' (leading-space),2031.5,521
Simon,curious,control,reintro_sentence_end,'curious' (leading-space),7278.0,719
